# time,control output,box humidity,box temp,outside humidity,outside temp,heater 1 temp,heater 2 temp,P,I,D,SP,Err
1.093231201171875000e+00,-1.000000000000000000e+03,1.000000000000000000e+01,3.000000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,2.757000000000000028e+01,2.625000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00
2.259799957275390625e+00,2.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,2.750000000000000000e+01,2.676000000000000156e+01,2.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00
3.433923244476318359e+00,2.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,2.741000000000000014e+01,2.680000000000000071e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00
5.657656669616699219e+00,2.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,2.730999999999999872e+01,2.705000000000000071e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00
6.830024719238281250e+00,2.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,2.741000000000000014e+01,2.696000000000000085e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00
8.004186391830444336e+00,2.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,2.753999999999999915e+01,2.692000000000000171e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00
1.023188757896423340e+01,2.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,2.789000000000000057e+01,2.746999999999999886e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00
1.245916104316711426e+01,2.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,2.860000000000000142e+01,2.807999999999999829e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00
1.363302516937255859e+01,2.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,2.896000000000000085e+01,2.833999999999999986e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00
1.586200499534606934e+01,2.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,2.976000000000000156e+01,2.937000000000000099e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
1.808873510360717773e+01,1.200000000000000000e+03,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,3.066000000000000014e+01,3.030999999999999872e+01,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
1.926474142074584961e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,3.121000000000000085e+01,3.085999999999999943e+01,1.200000000000000000e+01,1.881610107421875233e-01,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
2.043577909469604492e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,3.173000000000000043e+01,3.146999999999999886e+01,1.200000000000000000e+01,1.873660278320312678e-01,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
2.266386961936950684e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,3.282000000000000028e+01,3.250000000000000000e+01,1.200000000000000000e+01,3.564944839477539040e-01,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
2.488619780540466309e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,3.404999999999999716e+01,3.378999999999999915e+01,1.200000000000000000e+01,3.555725097656250444e-01,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
2.711593842506408691e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,3.521000000000000085e+01,3.468999999999999773e+01,1.200000000000000000e+01,3.567584991455078347e-01,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
2.829364943504333496e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,3.592000000000000171e+01,3.534000000000000341e+01,1.200000000000000000e+01,1.884337615966797108e-01,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
2.947231388092041016e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,3.665999999999999659e+01,3.597999999999999687e+01,1.200000000000000000e+01,1.885863113403320468e-01,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
3.217978215217590332e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,3.795000000000000284e+01,3.736999999999999744e+01,1.200000000000000000e+01,4.331949234008789507e-01,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
3.440304207801818848e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,3.924000000000000199e+01,3.832999999999999829e+01,1.200000000000000000e+01,3.557215881347656206e-01,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
3.557655143737792969e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,3.993999999999999773e+01,3.910999999999999943e+01,1.200000000000000000e+01,1.877614974975586049e-01,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
3.780786347389221191e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,4.120000000000000284e+01,4.022999999999999687e+01,1.200000000000000000e+01,3.570099258422851918e-01,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
4.004030990600585938e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,2.400000000000000000e+01,4.246000000000000085e+01,4.142999999999999972e+01,1.200000000000000000e+01,3.571914291381836359e-01,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
