# time,control output,box humidity,box temp,outside humidity,outside temp,heater 1 temp,heater 2 temp,P,I,D,SP,Err
1.098218679428100586e+00,-1.850607360000000044e+05,1.100000000000000000e+01,2.800000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.992000000000000171e+01,2.785999999999999943e+01,-4.032000000000000028e+01,0.000000000000000000e+00,-1.810287360000000035e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.257787704467773438e+00,2.901456000000000131e+04,1.300000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.982999999999999829e+01,2.844000000000000128e+01,-3.311999999999999744e+01,0.000000000000000000e+00,3.232656000000000063e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.953899145126342773e+00,-3.311999999999999545e+03,1.300000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.957000000000000028e+01,2.733999999999999986e+01,-3.311999999999999744e+01,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.114354133605957031e+00,-3.311999999999999545e+03,1.300000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.946999999999999886e+01,2.750000000000000000e+01,-3.311999999999999744e+01,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.280981779098510742e+00,-3.311999999999999545e+03,1.300000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.953999999999999915e+01,2.750000000000000000e+01,-3.311999999999999744e+01,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.442416429519653320e+00,-3.311999999999999545e+03,1.300000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.950000000000000000e+01,2.746999999999999886e+01,-3.311999999999999744e+01,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.604348659515380859e+00,-3.311999999999999545e+03,1.300000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.960000000000000142e+01,2.757000000000000028e+01,-3.311999999999999744e+01,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.076680707931518555e+01,-3.311999999999999545e+03,1.300000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.960000000000000142e+01,2.753999999999999915e+01,-3.311999999999999744e+01,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.192920994758605957e+01,-3.311999999999999545e+03,1.300000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.957000000000000028e+01,2.767000000000000171e+01,-3.311999999999999744e+01,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.461848044395446777e+01,-3.311999999999999545e+03,1.300000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.957000000000000028e+01,2.760000000000000142e+01,-3.311999999999999744e+01,0.000000000000000000e+00,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
1.730956888198852539e+01,1.008000000000000000e+03,1.300000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.953999999999999915e+01,2.817999999999999972e+01,1.008000000000000007e+01,0.000000000000000000e+00,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
1.848102402687072754e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.950000000000000000e+01,2.821000000000000085e+01,1.008000000000000007e+01,5.320837156882999436e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
2.118354034423828125e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.957000000000000028e+01,2.844000000000000128e+01,1.008000000000000007e+01,1.227503187070629193e-01,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
2.693968987464904785e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,3.057000000000000028e+01,2.953999999999999915e+01,1.008000000000000007e+01,2.614486302423815189e-01,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
2.811202073097229004e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.300000000000000000e+01,1.360000000000000000e+02,1.000000000000000000e+01,3.092000000000000171e+01,2.989000000000000057e+01,1.008000000000000007e+01,5.324814703948757555e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
3.081128287315368652e+01,0.000000000000000000e+00,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,3.185999999999999943e+01,2.989000000000000057e+01,8.640000000000000568e+00,1.050878671102726675e-01,-6.465312000000000126e+01,3.000000000000000000e+01,0.000000000000000000e+00
3.197477364540100098e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.360000000000000000e+02,1.000000000000000000e+01,3.234000000000000341e+01,3.130999999999999872e+01,8.640000000000000568e+00,4.529710610439020152e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
3.420623803138732910e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,3.317999999999999972e+01,3.217999999999999972e+01,8.640000000000000568e+00,8.687553135032949347e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
3.538851761817932129e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,3.368999999999999773e+01,3.272999999999999687e+01,8.640000000000000568e+00,4.602859357838373633e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
3.656449532508850098e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,3.414000000000000057e+01,3.302000000000000313e+01,8.640000000000000568e+00,4.578324833928269083e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
3.879155921936035156e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.360000000000000000e+02,1.000000000000000000e+01,3.504999999999999716e+01,3.385000000000000142e+01,8.640000000000000568e+00,8.670421109162458617e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
3.997251772880554199e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.360000000000000000e+02,1.000000000000000000e+01,3.553000000000000114e+01,3.450000000000000000e+01,8.640000000000000568e+00,4.597716130046837490e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
4.268021798133850098e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,3.688000000000000256e+01,3.571999999999999886e+01,8.640000000000000568e+00,1.054163802270350891e-01,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
4.491342902183532715e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,3.782000000000000028e+01,3.671999999999999886e+01,8.640000000000000568e+00,8.694353222887271637e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
